scheibe_id,lochkreis,werkstoff,werkzeug_id,bohrung_nr,VB,VBmax,isp_max,isp_mittel,isp_std,iz_max,iz_mittel,iz_std
2,mittel,IN718,27,6,62.166666666666664,138.33333333333334,0.342,0.249,0.0899,0.586,0.49,0.0626
2,mittel,IN718,27,10,82.83333333333333,146.66666666666666,0.431,0.3234,0.1155,0.6,0.5053,0.0708
2,mittel,IN718,27,14,97.83333333333333,159.83333333333334,0.465,0.3553,0.1283,0.609,0.5062,0.0848
2,mittel,IN718,27,18,114.16666666666667,169.5,0.506,0.3777,0.1351,0.628,0.521,0.0972
2,mittel,IN718,28,2,40.5,111.33333333333333,0.396,0.2741,0.0958,0.557,0.4567,0.0763
2,mittel,IN718,28,6,66.5,128.0,0.479,0.3388,0.1127,0.595,0.4936,0.0787
2,mittel,IN718,28,10,85.83333333333333,139.33333333333334,0.465,0.3244,0.1312,0.6,0.4947,0.0855
2,mittel,IN718,28,14,102.66666666666667,151.33333333333334,0.506,0.3717,0.1341,0.609,0.5062,0.0852
2,mittel,IN718,28,18,119.83333333333333,167.16666666666666,0.608,0.4315,0.166,0.643,0.5377,0.083
3,aussen,DA718,35,2,50.666666666666664,117.5,0.5127,0.39917,0.10314,1.2568,1.16495,0.07974
3,aussen,DA718,35,6,87.83333333333333,140.33333333333334,0.567,0.4518,0.1201,1.29,1.189,0.106
3,aussen,DA718,35,10,114.5,160.0,0.656,0.5186,0.1558,1.309,1.2129,0.1179
3,aussen,DA718,35,14,140.66666666666666,181.5,0.916,0.7255,0.1896,1.314,1.2128,0.1059
3,aussen,DA718,35,18,160.0,191.5,0.807,0.6385,0.1938,1.352,1.2364,0.096
3,aussen,DA718,36,2,52.333333333333336,109.0,0.485,0.3751,0.1019,1.2,1.084,0.086
3,aussen,DA718,36,6,87.83333333333333,135.0,0.622,0.482,0.1364,1.209,1.1095,0.0891
3,aussen,DA718,36,10,112.33333333333333,154.83333333333334,0.731,0.5643,0.1395,1.23,1.132,0.086
3,aussen,DA718,36,14,137.66666666666666,172.33333333333334,0.772,0.5977,0.1749,1.266,1.1487,0.1017
3,aussen,DA718,36,18,161.0,191.0,0.827,0.6286,0.1921,1.276,1.1817,0.0865
3,aussen,DA718,37,2,52.5,116.83333333333333,0.492,0.3931,0.0981,1.16,1.065,0.086
3,aussen,DA718,37,6,90.66666666666667,145.16666666666666,0.622,0.4997,0.1339,1.21,1.118,0.096
3,aussen,DA718,37,10,120.66666666666667,161.0,0.718,0.5623,0.1516,1.24,1.129,0.094
3,aussen,DA718,37,14,142.83333333333334,173.33333333333334,0.8,0.6237,0.1702,1.25,1.141,0.086
3,aussen,DA718,37,18,162.83333333333334,190.5,0.882,0.6886,0.1887,1.266,1.1609,0.0933
3,aussen,DA718,38,2,47.0,108.16666666666667,0.355,0.2614,0.0773,1.19,1.074,0.068
3,aussen,DA718,38,6,91.5,133.33333333333334,0.506,0.3983,0.1141,1.19,1.095,0.072
3,aussen,DA718,38,10,115.33333333333333,152.16666666666666,0.677,0.5567,0.1487,1.21,1.11,0.089
3,aussen,DA718,38,14,139.83333333333334,168.16666666666666,0.718,0.5571,0.1675,1.24,1.139,0.093
3,aussen,DA718,38,18,158.83333333333334,185.83333333333334,0.697,0.5431,0.1674,1.26,1.159,0.084
3,aussen,DA718,39,2,51.833333333333336,129.66666666666666,0.328,0.2489,0.078,1.18,1.074,0.092
3,aussen,DA718,39,6,89.0,146.16666666666666,0.581,0.4527,0.1273,1.21,1.12,0.081
3,aussen,DA718,39,10,115.5,164.0,0.547,0.4384,0.1337,1.23,1.127,0.086
3,aussen,DA718,39,14,141.66666666666666,181.83333333333334,0.718,0.5622,0.1679,1.24,1.151,0.099
3,aussen,DA718,39,18,167.0,200.0,0.731,0.5928,0.1641,1.24,1.138,0.099
3,aussen,DA718,40,2,49.833333333333336,116.0,0.479,0.3734,0.0991,1.15,1.061,0.088
3,aussen,DA718,40,6,85.66666666666667,134.33333333333334,0.602,0.4655,0.1237,1.21,1.116,0.093
3,aussen,DA718,40,10,116.16666666666667,153.0,0.622,0.5035,0.1457,1.29,1.17,0.094
3,aussen,DA718,40,14,136.0,170.0,0.759,0.5644,0.1842,1.24,1.139,0.099
3,aussen,DA718,40,18,160.83333333333334,192.16666666666666,0.841,0.6598,0.1889,1.26,1.162,0.096
3,aussen,DA718,41,2,46.833333333333336,120.5,0.417,0.317,0.091,1.2,1.104,0.081
